,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,"Manager, Model Validation",USD 76K - 126K (Glassdoor est.),"5 years of experience in statistical modeling, model risk management, financial modeling, or a related field within the financial services industry.…",4.1,Sallie Mae,"Newark, DE",1001 to 5000 Employees,1973,Company - Public,Banking & Lending,Financial Services,$1 to $5 billion (USD)
1,Senior Data Scientist,USD 200K (Employer est.),Demonstrated ability to effectively communicate technical findings to a non-technical audience. Advanced degree in a quantitative field.…,4.5,Red Dog Media,"Henderson, NV",1 to 50 Employees,2008,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
2,Sr. Finance & Data Analyst,USD 71K - 101K (Glassdoor est.),"PACE is an alternative to nursing home care and through an interdisciplinary care team (IDT) of physicians, nurse practitioners, nurses, social workers,……",3.4,Senior Care Partners PACE,"Battle Creek, MI",201 to 500 Employees,2008,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$5 to $25 million (USD)
3,Statistical Analyst (Administrative Specialist 4),USD 74K - 109K (Employer est.),Driver's License:* Appointee will be required to possess a driver's license valid in New Jersey only if the operation of a vehicle is necessary to perform……,3.9,New Jersey Courts,"Trenton, NJ",5001 to 10000 Employees,--,Government,State & Regional Agencies,Government & Public Administration,Unknown / Non-Applicable
4,Principal Data Scientist,USD 122K - 221K (Employer est.),"The analyst must be able to develop Python and/or MATLAB scripts to perform digital signal processing; develop, validate, and document algorithms that define……",3.8,Leidos,"Huntsville, AL",10000+ Employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
5,Data Scientist,USD 78K - 115K (Glassdoor est.),"And conduct what-if scenario analysis, for field, sales and corporate leadership. Perform quantitative and qualitative analysis using traditional and advanced……",3.5,Penske Truck Leasing and Logistics,"Reading, PA",10000+ Employees,1969,Company - Private,Shipping & Trucking,Transportation & Logistics,$5 to $10 billion (USD)
6,Project Manager/ Senior Data Analyst,USD 78K - 111K (Glassdoor est.),"Bachelor’s degree in computer science, Data Science, Information Systems, or a related field is preferred. Proven experience leading data analytics initiatives……",3.4,HumanTouch LLC,Patuxent River Naval Air Station,201 to 500 Employees,1998,Company - Private,Advertising & Public Relations,Media & Communication,$25 to $100 million (USD)
7,Software Developer - AI Trainer (Contract),USD 40.00 Per Hour (Employer est.),You can work on your own schedule. A bachelor's degree (completed or in progress). You will work with the chatbots that we are building in order to measure……,4.0,DataAnnotation,"Austin, TX",1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable
8,Data Scientist (ACC Readiness Systems),USD 110K (Employer est.),"Provide an analysis capability in Envision to develop project concepts, create data pipelines/objects/ontologies, code with Python, SQL, C code as required,……",4.3,D3 Air and Space Operations Inc,"Hampton, VA",201 to 500 Employees,--,Government,Taxi & Car Services,Transportation & Logistics,Unknown / Non-Applicable
9,Data Scientist,-1,Building tools to automate data collection. Transferring data into a new format to make it more appropriate for analysis.…,3.0,Bravura Information Technology Systems Inc,United States,201 to 500 Employees,--,Contract,Aerospace & Defense,Aerospace & Defense,$25 to $100 million (USD)
10,Sr. Machine Learning Engineer - Computer Vision (US Persons Only),USD 115K - 180K (Employer est.),"You will be a technical champion, leading the design, development, and deployment of robust image-based classification models with real-world impact.…",4.3,Solvus Global,"Worcester, MA",1 to 50 Employees,--,Company - Private,Metal & Mineral Manufacturing,Manufacturing,Unknown / Non-Applicable
11,Data Analyst / Data Scientist,USD 130K - 150K (Employer est.),"Own and develop relationship with partners, working with them to optimize and enhance our integration. Experience in analyzing data to draw business-relevant……",-1,DATSURA,"Washington, DC",-1,-1,-1,-1,-1,-1
12,Software Developer - AI Trainer (Contract),USD 40.00 Per Hour (Employer est.),You can work on your own schedule. A bachelor's degree (completed or in progress). You will work with the chatbots that we are building in order to measure……,4.0,DataAnnotation,"San Diego, CA",1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable
13,Statistical Safety Programming (Pharmacovigilance JMP/SQL Developer),USD 55.00 - 75.00 Per Hour (Employer est.),"Supports the development, implementation, and maintenance of analytic tools for signal detection and evaluation, specifically SMART, PV Analyze, and PV Trend,……",-1,Pliant Inc,"Skillman, NJ",-1,-1,-1,-1,-1,-1
14,Healthcare AI Director,USD 141K (Employer est.),"Advanced degree in computer science, artificial intelligence, healthcare informatics, or a related field. Identify and implement solutions to optimize billing……",2.8,"Cardiovascular Institute of San Diego, Inc.","San Diego, CA",1 to 50 Employees,--,Private Practice / Firm,--,--,Unknown / Non-Applicable
15,Software Developer - AI Trainer (Contract),USD 40.00 Per Hour (Employer est.),You can work on your own schedule. A bachelor's degree (completed or in progress). You will work with the chatbots that we are building in order to measure……,4.0,DataAnnotation,"Chicago, IL",1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable
16,"Data Labeling Quality Specialist, Public Sector, Contract",USD 18.00 Per Hour (Employer est.),"Do post-process audits and write error reports on data and tasks. Label machine learning data from customers. Strong sense of ownership, urgency, and drive.…",3.7,Scale AI,United States,51 to 200 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
17,Software Developer - AI Trainer (Contract),USD 40.00 Per Hour (Employer est.),Join our team to help train AI chatbots while gaining the flexibility of remote work and choosing your own schedule. You can work on your own schedule.…,4.0,DataAnnotation,"Los Angeles, CA",1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable
18,Machine Learning Engineer,USD 115K (Employer est.),You will also play a key role in shaping the interface through which non-technical users access these powerful AI-driven image analysis tools.…,-1,Sonder Research X,"North Brunswick, NJ",-1,-1,-1,-1,-1,-1
19,Senior Data Analyst,USD 90K - 130K (Employer est.),The Senior Data Analyst will work closely with the Company’s operational team in supporting and executing technical goals.…,-1,OPTX,"Las Vegas, NV",-1,-1,-1,-1,-1,-1
20,Data Scientist,USD 165K - 185K (Employer est.),"Establish advanced analysis and data visualization methodologies, models, and tools to derive intelligence outcomes and impacts.…",3.9,Syntelligent Analytic Solutions,"Springfield, VA",1 to 50 Employees,--,Company - Public,"Cable, Internet & Telephone Providers",Telecommunications,Unknown / Non-Applicable
21,Software Developer - AI Trainer (Contract),USD 40.00 Per Hour (Employer est.),You can work on your own schedule. A bachelor's degree (completed or in progress). You will work with the chatbots that we are building in order to measure……,4.0,DataAnnotation,United States,1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable
22,Data Scientist - Senior,USD 99K - 145K (Glassdoor est.),"Provide senior level enterprise support through data analytics, data engineering, data mining, exploratory analysis, predictive analysis, and statistical……",4.2,Celestar Corporation,"Hanover, MD",1 to 50 Employees,--,Company - Private,Wholesale,Retail & Wholesale,Less than $1 million (USD)
23,Contract Senior Statistical Programmer (Remote),USD 100.00 Per Hour (Employer est.),"Provide infrastructure support for internal programming team: set up and maintain standard directory, author technical user guides for utilities, draft good……",-1,"Sysdata Consulting, Inc",Remote,-1,-1,-1,-1,-1,-1
24,Software Developer - AI Trainer (Contract),USD 40.00 Per Hour (Employer est.),You can work on your own schedule. A bachelor's degree (completed or in progress). You will work with the chatbots that we are building in order to measure……,4.0,DataAnnotation,"San Jose, CA",1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable
25,Senior Data Scientist,USD 96K - 130K (Glassdoor est.),Perform technical risk analysis and reliability assessments. 6+ years of experience in developing algorithms using data science technologies to build analytical……,4.0,Deloitte,"Mechanicsburg, PA",10000+ Employees,1850,Company - Private,Business Consulting,Management & Consulting,$10+ billion (USD)
26,Senior Predictive Modeler,USD 90K (Employer est.),"Using a dynamic mix of machine learning approaches blended with classical statistical techniques and spatial analytics, the members of the team develop……",-1,Sitewise Analytics,"Dallas, TX",-1,-1,-1,-1,-1,-1
27,Lead AI Developer,USD 125K - 175K (Employer est.),"You will design and develop elegant machine learning systems, integrating artificial intelligence into our cutting-edge imaging and positional technologies.…",3.6,SeeScan Inc.,"San Diego, CA",201 to 500 Employees,1983,Company - Private,Consumer Product Manufacturing,Manufacturing,$25 to $100 million (USD)
28,Senior Data & NLP Engineer,USD 140K - 160K (Employer est.),Work collaboratively with machine learning scientists and domain experts to understand data needs and implement effective data strategies.…,-1,LegalMation,"Los Angeles, CA",-1,-1,-1,-1,-1,-1
